Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
DOC2A,ENSG00000149927.17,1.095,14.48,-2.885,1.71E-57
DOC2B,ENSG00000272636.3,2.295,0.59,1.051,3.59E-08
DOC2GP,ENSG00000231793.4,0.34,1.605,-0.959,1.79E-40
DOCK1,ENSG00000150760.12,7.29,20.745,-1.391,1.72E-37
DOCK10,ENSG00000135905.18,1.895,18.489,-2.751,1.72E-82
DOCK11,ENSG00000147251.15,1.79,2.315,-0.249,2.01E-02
DOCK2,ENSG00000134516.15,1.915,1.7,0.111,3.78E-01
DOCK3,ENSG00000088538.12,0.38,0.27,0.12,5.62E-02
DOCK4,ENSG00000128512.19,2.575,12.564,-1.924,1.77E-55
DOCK4-AS1,ENSG00000225572.1,0.01,0.06,-0.07,8.29E-29
DOCK5,ENSG00000147459.17,2,8.515,-1.665,1.37E-44
DOCK6,ENSG00000130158.13,9.165,26.384,-1.43,4.63E-33
DOCK7,ENSG00000116641.15,6.38,13.824,-1.006,4.12E-28
DOCK8,ENSG00000107099.15,2.18,1.7,0.236,1.84E-02
DOCK9,ENSG00000088387.17,16.955,27.245,-0.654,2.01E-06
DOCK9-AS2,ENSG00000260992.1,1.835,1.96,-0.062,2.67E-01
DOHH,ENSG00000129932.7,5.96,8.435,-0.439,2.62E-10
DOK1,ENSG00000115325.13,9.97,7.43,0.38,1.95E-03
DOK2,ENSG00000147443.12,2.725,1.28,0.708,1.27E-07
DOK3,ENSG00000146094.13,4.245,2.155,0.733,2.39E-08
DOK4,ENSG00000125170.10,8.885,19.84,-1.076,2.03E-22
DOK5,ENSG00000101134.11,38.309,0.605,4.614,2.34E-74
DOK6,ENSG00000206052.10,0.12,0.84,-0.716,1.99E-33
DOK7,ENSG00000175920.15,14.38,0.22,3.656,2.07E-71
DOLK,ENSG00000175283.7,10.485,5.965,0.722,2.84E-23
DOLPP1,ENSG00000167130.17,8.475,5.99,0.439,2.93E-11
DONSON,ENSG00000159147.17,8.875,25.33,-1.415,2.82E-31
DOPEY1,ENSG00000083097.14,2.155,15.53,-2.389,9.88E-97
DOPEY2,ENSG00000142197.12,3.3,1.63,0.709,1.78E-14
DOT1L,ENSG00000104885.17,5.23,11.075,-0.955,6.47E-17
DPAGT1,ENSG00000172269.16,35.794,30.963,0.203,1.77E-01
DPCD,ENSG00000166171.12,36.569,21.27,0.754,3.24E-11
DPCR1,ENSG00000168631.11,0.01,0.03,-0.028,6.84E-01
DPEP1,ENSG00000015413.9,0.59,1.205,-0.472,6.53E-01
DPEP2,ENSG00000167261.13,0.83,0.51,0.277,1.80E-03
DPEP3,ENSG00000141096.4,0.115,0.02,0.128,4.21E-06
DPF1,ENSG00000011332.19,1.045,0.31,0.643,1.18E-08
DPF2,ENSG00000133884.9,41.465,56.99,-0.45,1.67E-05
DPF3,ENSG00000205683.11,0.725,11.75,-2.886,9.12E-84
DPH1,ENSG00000108963.17,19.355,61.216,-1.612,3.01E-51
DPH2,ENSG00000132768.13,22.255,15.77,0.472,8.10E-05
DPH3,ENSG00000154813.9,11.1,5.54,0.888,5.79E-20
DPH3P1,ENSG00000233838.5,0.29,0.725,-0.419,3.39E-09
DPH5,ENSG00000117543.19,25.885,38.334,-0.549,1.09E-13
DPH6,ENSG00000134146.11,5.76,9.63,-0.653,2.39E-12
DPH6-AS1,ENSG00000248079.2,0.38,0.465,-0.086,9.25E-01
DPH7,ENSG00000148399.11,15.65,55.159,-1.754,7.98E-55
DPM1,ENSG00000000419.12,51.305,35.504,0.519,1.74E-11
DPM2,ENSG00000136908.17,43.495,28.909,0.573,5.31E-15
DPM3,ENSG00000179085.7,125.161,77.49,0.685,6.04E-12
DPP10,ENSG00000175497.16,0.16,0.045,0.151,2.56E-05
DPP10-AS1,ENSG00000235026.5,0.12,0,0.164,1.70E-05
DPP3,ENSG00000254986.7,35.561,8.58,1.932,1.31E-71
DPP4,ENSG00000197635.9,1.035,2.42,-0.749,6.22E-03
DPP6,ENSG00000130226.16,0.26,0.185,0.089,1.87E-01
DPP7,ENSG00000176978.13,74.256,103.067,-0.468,1.48E-04
DPP8,ENSG00000074603.18,6.115,11.295,-0.789,1.28E-21
DPP9,ENSG00000142002.16,16.18,21.755,-0.405,3.18E-04
DPP9-AS1,ENSG00000205790.1,0.1,0.425,-0.373,1.46E-36
DPPA2,ENSG00000163530.4,0.01,0,0.014,6.68E-03
DPPA3P1,ENSG00000227067.3,0,0.2,-0.263,9.45E-19
DPPA4,ENSG00000121570.12,0.01,0,0.014,4.79E-01
DPRXP4,ENSG00000264743.2,0.35,0.625,-0.267,2.16E-04
DPT,ENSG00000143196.4,0.37,8.368,-2.774,3.32E-49
DPY19L1,ENSG00000173852.13,4.41,5.43,-0.249,2.20E-02
DPY19L1P1,ENSG00000229358.3,0.31,1.8,-1.096,8.38E-97
DPY19L1P2,ENSG00000231952.3,0.03,0,0.043,2.75E-04
DPY19L2,ENSG00000177990.11,0.66,28.495,-4.151,1.65E-166
DPY19L2P1,ENSG00000189212.12,0.04,0.42,-0.449,7.01E-24
DPY19L2P2,ENSG00000170629.14,0.545,4.74,-1.893,1.71E-53
DPY19L2P3,ENSG00000227855.3,0.99,1.585,-0.377,1.23E-09
DPY19L2P4,ENSG00000235436.10,0.06,1.925,-1.464,3.14E-125
DPY19L3,ENSG00000178904.18,5.155,12.83,-1.168,4.50E-24
DPY19L4,ENSG00000156162.16,9.58,12.23,-0.322,2.88E-03
DPY30,ENSG00000162961.13,117.014,45.779,1.335,6.48E-41
DPYD,ENSG00000188641.12,2.3,13.215,-2.107,4.71E-57
DPYD-AS1,ENSG00000232878.3,0,0.09,-0.124,2.01E-31
DPYS,ENSG00000147647.12,0.13,0.47,-0.379,1.07E-08
DPYSL2,ENSG00000092964.16,13.815,37.355,-1.372,1.15E-23
DPYSL3,ENSG00000113657.12,45.781,87.957,-0.927,5.39E-11
DPYSL4,ENSG00000151640.12,0.71,5.525,-1.932,8.69E-30
DPYSL5,ENSG00000157851.16,0.04,0.085,-0.061,1.17E-01
DQX1,ENSG00000144045.13,0.16,0.12,0.051,2.99E-01
DR1,ENSG00000117505.12,17,11.34,0.545,2.76E-09
DRAIC,ENSG00000245750.7,0.21,0.395,-0.205,1.69E-04
DRAM1,ENSG00000136048.13,5.62,7.07,-0.286,5.16E-03
DRAM2,ENSG00000156171.14,47.425,34.145,0.462,2.74E-05
DRAP1,ENSG00000175550.7,133.005,71.315,0.89,5.53E-24
DRAXIN,ENSG00000162490.6,0.1,0.01,0.123,2.29E-06
DRC1,ENSG00000157856.10,0.465,0.02,0.522,9.49E-11
DRC7,ENSG00000159625.14,0.67,0.115,0.583,1.46E-10
DRD1,ENSG00000184845.3,0.01,0.05,-0.056,3.39E-02
DRD2,ENSG00000149295.13,0.71,0.21,0.499,2.99E-09
DRD4,ENSG00000069696.6,1.71,2.879,-0.517,5.77E-04
DRD5,ENSG00000169676.5,0.03,0.02,0.014,6.77E-02
DRG1,ENSG00000185721.11,41.514,40.734,0.027,5.72E-01
DRG2,ENSG00000108591.9,15.445,34.5,-1.11,2.26E-52
DRICH1,ENSG00000189269.12,0.1,1.665,-1.277,8.80E-115
DROSHA,ENSG00000113360.16,32.891,46.975,-0.501,2.15E-09
DRP2,ENSG00000102385.12,0.11,0.865,-0.749,1.29E-83
DSC1,ENSG00000134765.9,0.09,0.02,0.096,8.30E-04
DSC2,ENSG00000134755.14,12.93,0.44,3.274,6.09E-57
DSC3,ENSG00000134762.16,0.48,0.21,0.291,7.40E-03
DSCAML1,ENSG00000177103.13,0.51,4.335,-1.821,9.62E-40
DSCAS,ENSG00000265888.1,0.1,0,0.138,5.36E-06
DSCC1,ENSG00000136982.5,5.625,1.575,1.363,1.21E-50
DSCR3,ENSG00000157538.13,14.145,18.04,-0.33,1.19E-05
DSCR8,ENSG00000198054.11,0.03,0,0.043,9.64E-05
DSCR9,ENSG00000230366.9,0.23,0.375,-0.161,1.11E-02
DSE,ENSG00000111817.16,4.25,15.859,-1.683,2.71E-43
DSEL,ENSG00000171451.13,0.77,1.88,-0.702,1.17E-11
DSG1,ENSG00000134760.5,0.02,0.04,-0.028,2.68E-01
DSG2,ENSG00000046604.12,30.201,7.159,1.935,2.09E-41
DSG2-AS1,ENSG00000264859.5,0.09,0.02,0.096,1.23E-06
DSG3,ENSG00000134757.4,0.01,0.055,-0.063,4.66E-02
DSN1,ENSG00000149636.15,10.235,5.059,0.891,3.53E-25
DSP,ENSG00000096696.13,45.315,1.244,4.367,2.89E-109
DST,ENSG00000151914.17,10.1,151.481,-3.78,7.71E-98
DSTN,ENSG00000125868.15,174.35,238.574,-0.45,3.10E-11
DSTNP1,ENSG00000230982.1,0.56,4.14,-1.72,2.70E-90
DSTNP2,ENSG00000248593.3,2.515,4.74,-0.707,4.02E-19
DSTYK,ENSG00000133059.16,3.725,6.495,-0.666,1.43E-13
DTD1,ENSG00000125821.11,23.865,19.675,0.266,1.62E-02
DTD2,ENSG00000129480.12,8.495,6.73,0.297,3.83E-04
DTHD1,ENSG00000197057.8,0.07,0.05,0.027,7.92E-02
DTL,ENSG00000143476.17,5,0.185,2.34,2.19E-72
DTNA,ENSG00000134769.21,2.3,8.84,-1.576,4.11E-16
DTNB,ENSG00000138101.18,12.5,8.885,0.45,4.28E-07
DTNBP1,ENSG00000047579.19,13.625,11.725,0.201,4.04E-02
DTWD1,ENSG00000104047.14,10.615,28.899,-1.364,2.90E-63
DTWD2,ENSG00000169570.9,2.24,0.88,0.785,7.14E-23
DTX1,ENSG00000135144.7,2.14,0.885,0.736,2.39E-10
DTX2,ENSG00000091073.19,16.18,12.72,0.325,7.12E-05
DTX2P1,ENSG00000186704.9,1.815,2.34,-0.247,2.12E-02
DTX2P1-UPK3BP1-PMS2P11,ENSG00000265479.5,2.065,5.45,-1.073,1.26E-37
DTX3,ENSG00000178498.15,22.289,113.735,-2.301,2.09E-68
DTX3L,ENSG00000163840.9,20.78,7.26,1.399,4.13E-29
DTX4,ENSG00000110042.7,11.31,14.285,-0.312,6.66E-02
DTYMK,ENSG00000168393.12,33.46,12.84,1.316,1.32E-42
DUOX1,ENSG00000137857.17,1.57,4.355,-1.059,6.91E-11
DUOX2,ENSG00000140279.12,0.13,0.59,-0.493,1.70E-11
DUOXA1,ENSG00000140254.12,0.57,0.99,-0.342,1.52E-01
DUOXA2,ENSG00000140274.13,0.04,0.105,-0.087,6.85E-02
DUS1L,ENSG00000169718.17,78.52,87.229,-0.15,2.02E-01
DUS2,ENSG00000167264.17,4.24,7.505,-0.699,1.24E-19
DUS3L,ENSG00000141994.15,14.355,40.536,-1.436,1.21E-42
DUS4L,ENSG00000105865.10,5.44,5.415,0.006,4.53E-01
DUSP1,ENSG00000120129.5,58.854,400.566,-2.746,2.82E-32
DUSP10,ENSG00000143507.17,4.845,1.215,1.4,3.42E-21
DUSP11,ENSG00000144048.10,24.975,19.57,0.337,2.95E-05
DUSP12,ENSG00000081721.11,15.03,21.46,-0.487,2.73E-11
DUSP13,ENSG00000079393.20,0.09,0.07,0.027,5.57E-01
DUSP14,ENSG00000276023.4,14.395,5.15,1.324,9.49E-41
DUSP15,ENSG00000149599.15,2.61,6.78,-1.108,2.19E-10
DUSP16,ENSG00000111266.8,9.485,9.775,-0.039,1.07E-01
DUSP18,ENSG00000167065.13,4.38,1.645,1.024,1.29E-23
DUSP19,ENSG00000162999.12,0.99,0.8,0.145,2.93E-03
DUSP2,ENSG00000158050.4,8.76,3.92,0.988,1.24E-10
DUSP22,ENSG00000112679.14,16.475,20.544,-0.302,3.43E-05
DUSP23,ENSG00000158716.8,101.005,36.42,1.447,7.47E-49
DUSP26,ENSG00000133878.8,0.15,17.429,-4.002,1.36E-199
DUSP27,ENSG00000198842.9,0.05,0.04,0.014,2.14E-02
DUSP28,ENSG00000188542.9,5.975,4.05,0.466,3.28E-11
DUSP3,ENSG00000108861.8,12.725,11.97,0.082,1.00E+00
DUSP4,ENSG00000120875.8,1.605,0.35,0.948,7.69E-18
DUSP5,ENSG00000138166.5,4.95,3.085,0.543,5.91E-03
DUSP5P1,ENSG00000183929.7,0.03,1.92,-1.503,1.44E-95
DUSP5P2,ENSG00000235338.1,0.02,0,0.029,3.39E-06
DUSP6,ENSG00000139318.7,42.345,7.2,2.402,2.47E-37
DUSP7,ENSG00000164086.9,8.545,8.4,0.022,9.94E-01
DUSP8,ENSG00000184545.10,4.435,1.03,1.421,6.76E-14
DUSP8P3,ENSG00000215097.3,0.335,0.595,-0.257,1.02E-04
DUSP8P4,ENSG00000215065.3,0.04,0.1,-0.081,4.00E-07
DUSP8P5,ENSG00000235316.1,1.135,3.465,-1.064,1.88E-28
DUSP9,ENSG00000130829.17,1.53,0.58,0.679,3.68E-06
DUT,ENSG00000128951.13,62.495,105.807,-0.75,1.43E-17
DUTP1,ENSG00000229048.5,0.125,0.29,-0.197,5.38E-07
DUTP2,ENSG00000254388.1,0.09,0.125,-0.046,1.00E+00
DUTP6,ENSG00000225171.2,0.27,1.575,-1.02,1.93E-52
DUTP7,ENSG00000250473.1,0.04,0,0.057,1.92E-01
DUX4L26,ENSG00000236138.4,0.03,0.15,-0.159,2.10E-25
DUX4L27,ENSG00000258794.3,0.28,0.285,-0.006,2.73E-01
DUX4L50,ENSG00000232815.1,0.855,0.29,0.524,1.99E-10
DUXAP1,ENSG00000259056.1,0,0.175,-0.233,1.32E-18
DUXAP8,ENSG00000206195.10,11.6,1.97,2.085,4.58E-18
DUXAP9,ENSG00000225210.9,6.28,1.36,1.625,2.88E-15
DVL1,ENSG00000107404.17,31.11,49.063,-0.641,2.94E-11
DVL2,ENSG00000004975.11,17.345,54.473,-1.596,7.77E-45
DVL3,ENSG00000161202.17,54.403,56.574,-0.055,5.44E-01
DXO,ENSG00000204348.9,21.345,46.439,-1.086,7.96E-35
DYDC1,ENSG00000170788.13,0.23,0,0.299,1.27E-11
DYDC2,ENSG00000133665.12,3.185,0.05,1.995,1.11E-39
DYM,ENSG00000141627.13,22.215,22.82,-0.037,3.95E-01
DYNC1H1,ENSG00000197102.10,81.289,115.928,-0.507,6.65E-08
DYNC1I1,ENSG00000158560.14,0.52,5.29,-2.049,3.09E-78
DYNC1I2,ENSG00000077380.15,43.271,56.055,-0.366,1.61E-05
DYNC1I2P1,ENSG00000225137.1,0.275,0.375,-0.109,1.99E-03
DYNC1LI1,ENSG00000144635.8,15.27,15.865,-0.052,1.00E+00
DYNC1LI2,ENSG00000135720.12,16.46,51.85,-1.598,4.38E-35
DYNC2H1,ENSG00000187240.13,3.295,18.35,-2.172,4.33E-76
DYNC2LI1,ENSG00000138036.18,13.22,41.286,-1.572,1.40E-49
DYNLL1,ENSG00000088986.10,413.1,222.351,0.891,1.67E-19
DYNLL1P1,ENSG00000205579.3,0.2,0,0.263,3.24E-08
DYNLL1P4,ENSG00000257231.1,0,0.51,-0.595,3.75E-31
DYNLL2,ENSG00000264364.2,11.28,16.115,-0.479,3.06E-07
DYNLRB1,ENSG00000125971.16,359.5,150.153,1.254,2.51E-39
DYNLRB2,ENSG00000168589.14,0.975,1.335,-0.242,4.12E-01
DYNLT1,ENSG00000146425.10,105.375,89.874,0.227,4.03E-03
DYNLT3,ENSG00000165169.10,11.225,17.15,-0.57,2.04E-11
DYRK1A,ENSG00000157540.19,15.92,28.084,-0.781,1.13E-13
DYRK1B,ENSG00000105204.13,36.945,11.635,1.587,1.03E-31
DYRK2,ENSG00000127334.10,10.705,4.525,1.083,5.51E-19
DYRK3,ENSG00000143479.15,4.665,4.355,0.081,5.78E-01
DYRK4,ENSG00000010219.13,38.605,44.204,-0.191,1.38E-03
DYSF,ENSG00000135636.13,3.005,3.09,-0.03,9.40E-01
DYX1C1,ENSG00000256061.7,3.41,1.72,0.697,7.62E-16
DZANK1,ENSG00000089091.16,2.095,3.77,-0.624,3.00E-09
DZIP1,ENSG00000134874.17,4.28,31.947,-2.642,1.08E-72
DZIP1L,ENSG00000158163.14,0.985,9.75,-2.437,1.44E-94
DZIP3,ENSG00000198919.12,2.335,8.53,-1.515,5.00E-59
E2F1,ENSG00000101412.12,15.83,3.17,2.013,2.36E-49
E2F2,ENSG00000007968.6,2.46,0.03,1.748,7.35E-60
E2F3,ENSG00000112242.14,7.02,1.125,1.916,8.85E-57
E2F3P1,ENSG00000267046.1,0.02,0,0.029,1.00E+00
E2F4,ENSG00000205250.8,38.18,48.674,-0.342,6.58E-05
E2F5,ENSG00000133740.10,16.87,5.84,1.385,2.85E-29
E2F6,ENSG00000169016.16,9.33,10.6,-0.167,2.63E-01
E2F6P1,ENSG00000234764.2,0.105,0.1,0.007,5.93E-01
E2F7,ENSG00000165891.15,1.015,0.08,0.9,2.12E-29
E2F8,ENSG00000129173.12,3.54,0.02,2.154,2.12E-74
E4F1,ENSG00000167967.15,12.66,22.345,-0.773,1.84E-20
EAF1,ENSG00000144597.13,6.22,5.22,0.215,6.52E-02
EAF1-AS1,ENSG00000249786.7,0.33,0.79,-0.429,6.21E-09
EAF2,ENSG00000145088.8,2.64,1.52,0.531,1.27E-08
EAPP,ENSG00000129518.8,34.015,43.796,-0.355,2.23E-05
EARS2,ENSG00000103356.15,12.565,10.135,0.285,1.08E-02
EBAG9,ENSG00000147654.14,30.88,15.525,0.948,5.44E-17
EBAG9P1,ENSG00000233690.1,0.15,1.015,-0.809,3.76E-57
EBF1,ENSG00000164330.16,0.91,7.6,-2.171,2.29E-78
EBF2,ENSG00000221818.8,0.07,0.125,-0.072,1.29E-03
EBF3,ENSG00000108001.13,0.39,0.715,-0.303,4.99E-01
EBF4,ENSG00000088881.20,9.515,52.565,-2.349,3.87E-44
EBI3,ENSG00000105246.5,1.775,0.955,0.505,4.04E-07
EBLN2,ENSG00000255423.1,0.935,3.57,-1.24,3.54E-43
EBLN3,ENSG00000281649.1,15.32,20.31,-0.385,1.76E-04
EBNA1BP2,ENSG00000117395.10,78.501,36.569,1.081,3.47E-30
EBP,ENSG00000147155.10,44.649,24.295,0.852,5.50E-10
EBPL,ENSG00000123179.13,48.68,51.401,-0.077,4.62E-01
ECD,ENSG00000122882.10,18.65,15.685,0.236,2.18E-02
ECE1,ENSG00000117298.14,24.765,76.869,-1.596,1.17E-32
ECE2,ENSG00000145194.17,14.894,1.025,2.973,1.08E-103
ECEL1,ENSG00000171551.11,1.185,76.627,-5.151,8.95E-92
ECEL1P1,ENSG00000204121.2,0.01,0,0.014,3.11E-02
ECEL1P2,ENSG00000244280.1,0.04,0.4,-0.429,6.84E-06
ECH1,ENSG00000104823.8,131.465,122.636,0.1,6.37E-01
ECHDC1,ENSG00000093144.18,18.8,21.135,-0.161,1.72E-02
ECHDC2,ENSG00000121310.16,38.235,498.672,-3.671,4.08E-118
ECHDC3,ENSG00000134463.14,15.335,9.66,0.616,2.23E-12
ECHS1,ENSG00000127884.4,89.566,57.519,0.63,1.44E-14
ECI1,ENSG00000167969.12,75.926,40.04,0.906,4.86E-22
ECI2,ENSG00000198721.12,25.79,64.174,-1.283,3.87E-27
ECM1,ENSG00000143369.14,7.705,8.23,-0.085,8.51E-01
ECM2,ENSG00000106823.12,1.48,37.64,-3.962,7.40E-125
ECSIT,ENSG00000130159.13,32.189,49.114,-0.595,4.21E-08
ECT2,ENSG00000114346.13,21.695,1.185,3.377,1.91E-108
ECT2L,ENSG00000203734.11,0.04,0.12,-0.107,8.32E-03
EDA,ENSG00000158813.17,1.63,4.5,-1.064,1.63E-25
EDA2R,ENSG00000131080.14,0.4,5.219,-2.151,1.91E-114
EDAR,ENSG00000135960.9,0.21,0.01,0.261,1.25E-09
EDARADD,ENSG00000186197.12,1.105,0.19,0.823,6.45E-16
EDC3,ENSG00000179151.11,14.515,16.345,-0.161,1.01E-01
EDC4,ENSG00000038358.14,15.865,63.293,-1.931,6.39E-66
EDEM1,ENSG00000134109.10,5.335,12.375,-1.078,1.16E-27
EDEM2,ENSG00000088298.12,26.689,10.445,1.275,4.26E-38
EDEM3,ENSG00000116406.18,8.945,6.84,0.343,1.46E-04
EDF1,ENSG00000107223.12,288.304,381.304,-0.402,7.72E-05
EDIL3,ENSG00000164176.12,1.705,5.245,-1.207,5.86E-09
EDN1,ENSG00000078401.6,3.545,1.505,0.86,4.15E-08
EDN2,ENSG00000127129.9,3.595,0.09,2.076,4.26E-30
EDN3,ENSG00000124205.15,0.09,0.245,-0.191,6.94E-01
EDNRA,ENSG00000151617.15,2.07,20.599,-2.815,1.34E-64
EDNRB,ENSG00000136160.14,0.935,2.499,-0.854,5.89E-09
EDRF1,ENSG00000107938.17,7.435,24.285,-1.584,1.11E-55
EDRF1-AS1,ENSG00000236991.6,0.16,1.575,-1.15,2.44E-112
EEA1,ENSG00000102189.16,2.45,4.87,-0.767,1.41E-20
EED,ENSG00000074266.17,12.52,23.13,-0.836,1.74E-16
EEF1A1,ENSG00000156508.17,6001.884,10401.47,-0.793,1.69E-15
EEF1A1P10,ENSG00000243746.1,0.025,0.035,-0.014,7.04E-01
EEF1A1P11,ENSG00000228502.1,0.64,1.14,-0.384,1.73E-04
EEF1A1P12,ENSG00000214199.3,0.37,0.445,-0.077,5.66E-04
EEF1A1P13,ENSG00000250182.3,1.33,2.719,-0.675,7.56E-16
EEF1A1P14,ENSG00000233057.1,0.01,0.1,-0.123,7.99E-31
EEF1A1P19,ENSG00000249855.1,0.33,0.735,-0.383,1.66E-33
EEF1A1P22,ENSG00000259612.1,0.02,0.07,-0.069,1.20E-26
EEF1A1P25,ENSG00000241429.1,0.08,0,0.111,1.19E-12
EEF1A1P3,ENSG00000232587.1,0.1,0.055,0.06,3.43E-06
EEF1A1P30,ENSG00000237757.2,0.03,0.115,-0.114,3.21E-27
EEF1A1P4,ENSG00000245205.3,0.06,0.08,-0.027,1.51E-01
EEF1A1P5,ENSG00000196205.8,109.831,157.057,-0.512,1.94E-06
EEF1A1P6,ENSG00000233476.3,7.785,18.665,-1.163,2.92E-24
EEF1A1P7,ENSG00000268222.1,0.005,0,0.007,1.44E-04
EEF1A1P8,ENSG00000223529.1,0.03,0.04,-0.014,8.50E-02
EEF1A1P9,ENSG00000249264.1,0.24,0.34,-0.112,1.28E-07
EEF1A2,ENSG00000101210.10,0.41,0.955,-0.471,7.51E-01
EEF1B2,ENSG00000114942.13,483.441,874.49,-0.854,7.38E-17
EEF1B2P3,ENSG00000232472.1,7.25,12.33,-0.692,2.34E-11
EEF1B2P6,ENSG00000213261.3,0.465,0.97,-0.427,4.16E-13
EEF1B2P7,ENSG00000213055.3,0.17,0.1,0.089,2.31E-02
EEF1D,ENSG00000104529.17,697.04,1084.112,-0.636,3.03E-07
EEF1DP1,ENSG00000228887.3,0.15,0.21,-0.073,2.12E-01
EEF1DP2,ENSG00000226721.2,0.095,0.31,-0.259,1.57E-10
EEF1DP3,ENSG00000229715.4,0.12,0.07,0.066,6.98E-02
EEF1DP4,ENSG00000213640.3,0.08,0.305,-0.273,1.88E-14
EEF1DP7,ENSG00000263883.1,0.06,0.13,-0.092,3.83E-06
EEF1E1,ENSG00000124802.11,26.335,13.6,0.905,1.04E-23
EEF1E1P1,ENSG00000236307.2,0.29,0,0.367,7.49E-16
EEF1G,ENSG00000254772.9,1378.945,2137.931,-0.632,1.58E-11
EEF1GP5,ENSG00000234785.1,0.02,0.03,-0.014,5.82E-03
EEF1GP7,ENSG00000236290.1,0,0.1,-0.138,4.52E-18
EEF2,ENSG00000167658.15,745.104,1418.646,-0.928,2.31E-16
EEF2K,ENSG00000103319.11,8.8,8.955,-0.023,7.15E-01
EEF2KMT,ENSG00000118894.14,7.78,4.515,0.671,1.45E-12
EEFSEC,ENSG00000132394.10,19.315,12.86,0.552,1.72E-09
EEPD1,ENSG00000122547.10,6.445,13.87,-0.998,2.28E-26
EFCAB1,ENSG00000034239.10,0.8,12.395,-2.896,1.78E-28
EFCAB10,ENSG00000185055.10,0.62,0.75,-0.111,1.23E-01
EFCAB11,ENSG00000140025.15,6.985,3.365,0.871,1.18E-27
EFCAB12,ENSG00000172771.11,1.075,2.065,-0.563,2.58E-03
EFCAB13,ENSG00000178852.15,1.255,4.59,-1.31,3.72E-42
EFCAB14,ENSG00000159658.10,31.625,27.33,0.204,1.34E-01
EFCAB14-AS1,ENSG00000228237.5,0,0.125,-0.17,3.64E-13
EFCAB2,ENSG00000203666.12,10.875,10.95,-0.009,1.00E+00
EFCAB5,ENSG00000176927.14,0.09,0.03,0.082,3.00E-04
EFCAB6,ENSG00000186976.14,0.74,2.02,-0.795,5.03E-27
EFCAB6-AS1,ENSG00000223843.4,0,0.03,-0.043,2.07E-17
EFCAB7,ENSG00000203965.12,3.295,7.395,-0.967,1.12E-26
EFCAB8,ENSG00000215529.12,0.04,0.03,0.014,1.84E-01
EFCC1,ENSG00000114654.7,0.635,7.068,-2.303,1.48E-72
EFEMP1,ENSG00000115380.18,9.285,165.868,-4.02,1.29E-69
EFEMP2,ENSG00000172638.12,65.48,135.419,-1.037,2.17E-17
EFHB,ENSG00000163576.17,0.875,1.335,-0.317,1.12E-01
EFHC1,ENSG00000096093.14,5.915,11.645,-0.871,2.19E-15
EFHC2,ENSG00000183690.12,1.725,1.755,-0.016,6.47E-01
EFHD1,ENSG00000115468.11,9.63,68.881,-2.717,1.05E-43
EFHD2,ENSG00000142634.12,43.495,22.675,0.91,1.21E-21
EFNA1,ENSG00000169242.11,62.253,20.339,1.568,3.31E-33
EFNA2,ENSG00000099617.3,0.2,0,0.263,2.68E-07
EFNA3,ENSG00000143590.13,8.25,1.8,1.724,2.50E-34
EFNA4,ENSG00000243364.7,18.695,9.19,0.951,4.05E-20
EFNA5,ENSG00000184349.12,7.525,2.68,1.212,3.71E-11
EFNB1,ENSG00000090776.5,21.804,13.495,0.654,1.73E-09
EFNB2,ENSG00000125266.6,13.265,4.369,1.41,1.29E-17
EFNB3,ENSG00000108947.4,3.735,2.934,0.267,2.47E-01
EFR3A,ENSG00000132294.13,17.18,16.3,0.072,4.80E-01
EFR3B,ENSG00000084710.13,0.4,0.725,-0.301,6.41E-02
EFS,ENSG00000100842.12,3.615,41.544,-3.205,2.48E-59
EFTUD1,ENSG00000140598.13,6.375,4.185,0.508,2.06E-05
EFTUD1P1,ENSG00000259404.5,0.36,0,0.444,4.74E-19
EFTUD2,ENSG00000108883.12,35.774,30.005,0.246,2.32E-03
EGF,ENSG00000138798.11,0.145,0.055,0.118,9.50E-03
EGFEM1P,ENSG00000206120.11,0.055,0,0.077,1.37E-03
EGFL6,ENSG00000198759.11,8.88,0.04,3.248,1.76E-68
EGFL7,ENSG00000172889.15,8.524,32.015,-1.793,1.25E-23
EGFL8,ENSG00000241404.6,5.92,62.978,-3.209,1.63E-99
EGFLAM,ENSG00000164318.17,5.825,25.014,-1.93,2.38E-38
EGFR,ENSG00000146648.15,3.7,11.39,-1.398,6.00E-26
EGFR-AS1,ENSG00000224057.1,0.01,0.175,-0.218,2.45E-65
EGLN1,ENSG00000135766.8,11.195,12.065,-0.099,2.52E-01
EGLN1P1,ENSG00000254779.4,0.145,0.035,0.146,4.23E-01
EGLN2,ENSG00000269858.5,33.569,71.639,-1.071,5.77E-28
EGLN3,ENSG00000129521.13,12.44,1.565,2.39,5.21E-30
EGOT,ENSG00000235947.1,0.18,0.07,0.141,5.68E-06
EGR1,ENSG00000120738.7,50.609,138.289,-1.432,3.18E-09
EGR2,ENSG00000122877.13,2.735,1.01,0.894,9.81E-07
EGR3,ENSG00000179388.8,1.245,4.044,-1.168,1.33E-11
EGR4,ENSG00000135625.7,0.05,0.015,0.049,5.09E-03
EHBP1,ENSG00000115504.14,9.915,43.054,-2.013,9.61E-73
EHBP1L1,ENSG00000173442.11,17.2,39.505,-1.154,6.64E-24
EHD1,ENSG00000110047.17,27.754,13.375,1,4.18E-16
