Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
ABCG1,ENSG00000160179.18,6.445,3.82,0.627,2.37E-07
ABCG2,ENSG00000118777.10,0.58,3.505,-1.512,1.44E-87
ABCG4,ENSG00000172350.9,0.47,0.14,0.367,1.10E-11
ABCG5,ENSG00000138075.11,0.07,0.06,0.014,4.54E-02
ABCG8,ENSG00000143921.6,0.1,0.01,0.123,3.01E-06
ABHD1,ENSG00000143994.13,1.825,2.085,-0.127,5.86E-01
ABHD10,ENSG00000144827.8,12.765,15.27,-0.241,1.69E-02
ABHD11,ENSG00000106077.18,91.47,8.135,3.34,2.07E-107
ABHD11-AS1,ENSG00000225969.1,2.34,0,1.74,2.89E-22
ABHD12,ENSG00000100997.18,46.634,29.35,0.65,3.75E-12
ABHD12B,ENSG00000131969.14,0.41,0.38,0.031,2.07E-02
ABHD13,ENSG00000139826.5,2.94,3.875,-0.307,1.26E-03
ABHD14A,ENSG00000248487.8,26.915,25.025,0.101,5.07E-01
ABHD14A-ACY1,ENSG00000114786.15,1.04,1.68,-0.394,6.36E-07
ABHD14B,ENSG00000114779.19,52.59,54.713,-0.056,1.00E+00
ABHD15,ENSG00000168792.4,3.05,2.97,0.029,6.36E-01
ABHD16A,ENSG00000204427.11,43.995,46.481,-0.078,4.57E-01
ABHD17A,ENSG00000129968.15,39.06,49.664,-0.339,6.05E-06
ABHD17AP1,ENSG00000198658.4,0.28,0.15,0.155,2.51E-06
ABHD17AP4,ENSG00000229107.2,0.04,0,0.057,1.09E-04
ABHD17AP5,ENSG00000263366.2,0.05,0,0.07,3.20E-04
ABHD17AP6,ENSG00000226981.2,0.01,0.05,-0.056,4.82E-03
ABHD17B,ENSG00000107362.13,5.615,6.985,-0.272,1.35E-02
ABHD17C,ENSG00000136379.11,12.925,1.725,2.353,7.00E-69
ABHD2,ENSG00000140526.16,6.64,12.755,-0.848,3.26E-13
ABHD3,ENSG00000158201.9,5.335,12.73,-1.116,3.47E-14
ABHD4,ENSG00000100439.10,20.015,14.985,0.395,4.83E-03
ABHD5,ENSG00000011198.7,8.095,4.44,0.742,5.69E-14
ABHD6,ENSG00000163686.13,2.44,4.64,-0.713,2.45E-15
ABHD8,ENSG00000127220.5,16.425,13.555,0.26,2.23E-02
ABI1,ENSG00000136754.16,27.825,20.25,0.44,3.43E-03
ABI2,ENSG00000138443.15,36.59,20.159,0.829,1.14E-07
ABI3,ENSG00000108798.8,4.245,2.915,0.422,4.14E-04
ABI3BP,ENSG00000154175.16,2.715,54.388,-3.898,1.19E-73
ABL1,ENSG00000097007.17,16.735,51.529,-1.567,3.81E-36
ABL2,ENSG00000143322.19,2.605,3.04,-0.164,1.45E-01
ABLIM1,ENSG00000099204.18,26.975,136.911,-2.302,7.52E-45
ABLIM2,ENSG00000163995.18,2.23,1.025,0.674,1.64E-07
ABLIM3,ENSG00000173210.19,0.72,2.74,-1.121,1.79E-39
ABO,ENSG00000175164.13,2.225,23.43,-2.921,9.10E-59
ABR,ENSG00000159842.14,9.99,37.635,-1.814,5.04E-41
ABRA,ENSG00000174429.3,0.01,0.02,-0.014,4.01E-05
ABRACL,ENSG00000146386.7,37.724,3.245,3.189,3.34E-98
ABT1,ENSG00000146109.4,14.74,9.805,0.543,3.15E-16
ABTB1,ENSG00000114626.17,16.22,66.406,-1.969,4.41E-56
ABTB2,ENSG00000166016.5,1.565,1.67,-0.058,5.91E-01
AC000032.2,ENSG00000260246.1,0.3,1.718,-1.064,2.75E-26
AC000036.4,ENSG00000225929.1,0,0.035,-0.05,1.79E-05
AC000068.10,ENSG00000273212.1,0.335,0.475,-0.144,7.46E-03
AC000068.5,ENSG00000185065.6,0.325,0.22,0.119,5.44E-05
AC000068.9,ENSG00000273300.1,0.2,0.165,0.043,3.80E-01
AC000078.5,ENSG00000232926.1,0.115,2.285,-1.559,1.29E-137
AC000089.3,ENSG00000235776.2,0.29,0.93,-0.581,2.45E-31
AC000095.9,ENSG00000270393.1,0,0.035,-0.05,1.06E-02
AC000120.7,ENSG00000243107.1,0.15,1.265,-0.978,2.99E-85
AC000123.2,ENSG00000280347.1,0.34,0.935,-0.53,4.51E-35
AC000123.3,ENSG00000279265.1,0.58,3.125,-1.384,3.59E-87
AC000123.4,ENSG00000224138.1,0.315,1.7,-1.038,1.70E-77
AC000403.4,ENSG00000278727.1,0.32,0.595,-0.273,1.95E-06
AC001226.7,ENSG00000274898.1,0.09,0.525,-0.484,1.47E-47
AC002044.1,ENSG00000279591.1,0.31,0,0.39,8.26E-24
AC002044.3,ENSG00000280092.1,0.09,0,0.124,3.21E-09
AC002056.3,ENSG00000213683.4,0.12,0,0.164,5.61E-07
AC002059.10,ENSG00000273216.1,0.12,0.155,-0.044,5.64E-01
AC002064.5,ENSG00000225498.1,0.03,0.08,-0.068,1.20E-01
AC002066.1,ENSG00000237813.3,0.04,0.12,-0.107,1.42E-06
AC002075.4,ENSG00000237729.2,0.29,0.87,-0.536,8.58E-20
AC002076.10,ENSG00000234695.1,0.22,0,0.287,1.75E-04
AC002116.7,ENSG00000267698.1,0.86,0.355,0.457,1.29E-16
AC002116.8,ENSG00000248101.2,1.165,2.04,-0.49,3.11E-06
AC002117.1,ENSG00000224505.2,0.09,0.215,-0.157,1.48E-02
